省份,年份,财政支出效率,数字经济指数,政府透明度指数,协同效应,飞轮效应,财政分权,城镇化率,二产值占比,市场化指数,GDP增速
山西省,2008,0.57518,,,8.60277377992935,5.49269212635549,0.0210091726410093,0.451111814791359,0.583121907209449,5.74,8.3
山西省,2009,0.52943,,,9.76611844162341,4.57680732535058,0.0204679086861548,0.459855398907614,0.542760497994784,5.714,5.5
山西省,2010,0.429946,,42.0,10.184349293398,4.61017107116229,0.0214896027957313,0.480519625864901,0.568859867447173,5.43,10.8
山西省,2011,0.374477,0.0277111436817219,52.5,9.8777735990974,4.60875267043171,0.0216375086397629,0.498001122964627,0.590454325008565,5.441,10.0
山西省,2012,0.318767,0.0347239035771537,57.5,9.94615051903114,4.23383560551702,0.0219086536824022,0.513280721533258,0.555738006725101,5.798,9.2
山西省,2013,0.285491,0.0457847206232351,51.93,9.49556579236,3.95600188770779,0.0216110449811393,0.528845827439887,0.536324194153293,6.155,9.0
山西省,2014,0.307487,0.050291050962849,60.07,9.56112677802225,3.92013042576363,0.0203265712495971,0.54312641723356,0.493195543780546,6.204,4.9
山西省,2015,0.287093,0.0573546690828349,67.81,8.15012262196719,3.45793273093249,0.0194622094651302,0.558687127024723,0.406867510177034,6.522,3.0
山西省,2016,0.302818,0.0636120831315599,67.88,8.08559907562431,3.48407342382016,0.0182623960208614,0.572828685258964,0.385351111574272,6.057,4.1
山西省,2017,0.273763,0.0739852162324409,59.29,7.84123074353943,3.85587873560464,0.0184967424309831,0.586025641025641,0.436547311316927,6.897,6.8
山西省,2018,0.241441,0.0993551418323031,66.19,7.89719057626369,3.7251249442682,0.0193926206811978,0.598629354654483,0.421521205414877,7.177,6.6
山西省,2019,0.227747,0.119381977811881,56.52,7.71560068790435,3.60060796983926,0.019721980016861,0.612928224192165,0.437730080086077,6.74,6.1
山西省,2020,0.222711,0.14046209806743,64.77,7.89518645534032,3.4897385376658,0.0208030371985757,0.625368511828191,0.434821574751316,6.977,3.6
山西省,2021,0.235188,0.109234464923676,68.7,8.02337080080764,4.53182526126398,0.0205420213047425,0.634245851146968,0.496370107391701,7.222,9.3
山西省,2022,0.203568,0.114564001864558,,8.20854867998324,4.35359482685272,0.0225540287294534,0.639407126545737,0.539758058855186,7.476,4.4
山西省,2023,,0.122670814586961,,8.16407637084116,4.04976038552637,0.0231066275818036,0.649745094475172,0.518701698951678,7.738,5.0
内蒙古自治区,2000,,,,7.5249543517955,6.22437012172928,0.0112124571773193,0.422032040472175,0.397056409304716,3.419,10.75
内蒙古自治区,2001,,,,11.5649190933822,5.36803858923761,0.0144768434441338,0.435365008713179,0.365542271313623,3.355,10.7
内蒙古自治区,2002,,,,11.5653834851602,4.93152425235663,0.0178464301018222,0.440552840754179,0.375251166960339,3.739,13.16
内蒙古自治区,2003,,,,10.6439790575916,5.34007065241694,0.0181444587108696,0.447400850036466,0.407780838894983,4.149,16.3
内蒙古自治区,2004,,,,10.6798561151079,5.21600397085675,0.0198024424568635,0.458610918392083,0.438159203832861,4.779,16.7
内蒙古自治区,2005,,,,11.1856955380577,5.16762480201795,0.0200965037718522,0.472013349368111,0.454083579383513,5.595,19.6
内蒙古自治区,2006,,,,10.7566887417219,5.12454902540234,0.0200909240914703,0.486408148899609,0.470736714365172,6.206,18.0
内蒙古自治区,2007,,,,10.7681822704209,4.77395570585137,0.0217412745937987,0.501476019317943,0.491121220330117,6.21,18.0
内蒙古自治区,2008,1.016929,,,10.9218351103769,4.29157757962834,0.0232386672814352,0.517156030486882,0.502698853605141,5.961,16.5
内蒙古自治区,2009,0.583023,,,11.6665052070719,3.68696933839862,0.0252534963007175,0.534000211535176,0.525037858371192,6.089,16.0
内蒙古自治区,2010,0.44034,,,12.82434566787,3.60672971189795,0.0252964812132876,0.555339821534031,0.545552604523646,5.864,14.1
内蒙古自治区,2011,0.250499,0.0331066701204493,,11.6916728595455,3.16408014157587,0.0273617434274872,0.570445344129555,0.559732393306908,5.72,13.6
内蒙古自治区,2012,0.198551,0.0408464368042468,,12.4436655528113,3.056080140339,0.0272005495384507,0.584172077922078,0.55423017988008,6.641,10.7
内蒙古自治区,2013,0.183439,0.0490221206301668,54.4,12.5034595034595,3.09028568948493,0.0262924526485232,0.598289205702648,0.537001743859545,6.437,8.7
内蒙古自治区,2014,0.174277,0.0535935270971923,63.77,12.479431346692,3.13357285346832,0.025562247159743,0.609718252347897,0.513207230761179,6.158,7.8
内蒙古自治区,2015,0.193166,0.0628853993396145,76.78,11.7924857895467,3.04470298333396,0.0241813391197762,0.620983606557377,0.504756894721951,5.805,7.7
内蒙古自治区,2016,0.1938,0.0682221022540218,68.56,10.7453151415577,3.0556583516335,0.0240350720493988,0.634072249589491,0.471843712247836,5.807,7.0
内蒙古自治区,2017,0.219308,0.0775836264603796,56.3,11.2394055180627,3.28881461744442,0.022305532512441,0.646115906288533,0.397589246164159,5.993,3.98
内蒙古自治区,2018,0.201231,0.0982153507906278,68.15,13.5433649156248,3.34077069871219,0.0218712977435053,0.655161023947151,0.393730891272134,6.181,5.2
内蒙古自治区,2019,0.181581,0.119535602843677,59.47,12.2054699464012,3.3743979015509,0.0213553747352458,0.664691511387164,0.396157915193176,5.812,5.2
内蒙古自治区,2020,0.175076,0.133946868988704,74.71,12.0166906081127,3.27466338782883,0.0214514034836429,0.674854336607291,0.39562795005939,6.061,0.2
内蒙古自治区,2021,0.197326,0.0941719907514244,73.71,12.4529292929293,4.039644474642,0.0213274148970379,0.6821,0.456961519337824,6.32,6.7
内蒙古自治区,2022,0.0216,0.0997296827371878,,13.9857000332557,3.97250199568592,0.0225970143708675,0.685998908865261,0.485426580190512,6.591,4.4
内蒙古自治区,2023,,0.1078710643523,,11.5288125874833,3.60241887353282,0.0248931862720572,0.695784641068447,0.475234498720916,6.873,7.29
辽宁省,2000,,,,5.79572659134131,9.01231470043237,0.0234923355620399,0.587064676616915,0.50211391586315,4.653,8.9
辽宁省,2001,,,,6.35323265691364,7.92077805580473,0.0288135708504227,0.587064676616915,0.484901889101703,5.141,9.0
辽宁省,2002,,,,5.97629962805986,7.89990158050136,0.0313297646821429,0.587064676616915,0.478150386023282,5.839,10.25
辽宁省,2003,,,,5.61313868613139,7.52989622376909,0.0318207542003128,0.587064676616915,0.4829438870878,6.397,8.9
辽宁省,2004,,,,5.42426183681789,6.94631737169852,0.0326957417956119,0.587064676616915,0.491439571342926,7.048,10.4
